TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
18,,21.52,35.099998,83.300003,0.1352,0.2,0.2912,0.4634,0.0286,0.0286,3.657,3.657,0.8366,,1.175,,1.39,,1.765,,2.055,,2.343,,2.586,,2.817,,3.26,,4.151,,4.888,,0.6096,,0.815,,0.9532,,1.22,,1.439,,1.61,,1.776,,1.929,,2.209,,2.706,,3.044,,20.629999,24.93
19,,30.790001,20.030001,81.82,0.1329,0.1974,0.2889,0.4607,0.02979,0.02979,3.662,3.662,0.8324,,1.167,,1.379,,1.749,,2.039,,2.323,,2.563,,2.791,,3.231,,4.113,,4.839,,0.612,,0.8156,,0.9539,,1.227,,1.444,,1.615,,1.781,,1.934,,2.216,,2.716,,3.055,,19.950001,15.7
20,,29.700001,21.450001,83.400002,0.1355,0.2005,0.2916,0.4625,0.02943,0.02943,3.637,3.637,0.8307,,1.164,,1.374,,1.742,,2.028,,2.31,,2.549,,2.775,,3.212,,4.083,,4.799,,0.609,,0.8122,,0.9525,,1.22,,1.435,,1.605,,1.769,,1.922,,2.201,,2.696,,3.034,,23.129999,17.85
21,,17.549999,34.919998,98.389999,0.1594,0.2353,0.3404,0.536,0.02321,0.02321,3.606,3.606,0.8246,,1.159,,1.371,,1.743,,2.032,,2.32,,2.563,,2.794,,3.239,,4.136,,4.879,,0.6049,,0.8083,,0.9459,,1.215,,1.43,,1.601,,1.766,,1.919,,2.199,,2.695,,3.033,,20.809999,26.120001
22,,15.22,22.99,99.529999,0.1645,0.2514,0.3824,0.6273,0.02343,0.02343,3.585,3.585,0.8257,,1.161,,1.373,,1.744,,2.032,,2.318,,2.558,,2.786,,3.221,,4.088,,4.797,,0.603,,0.801,,0.945,,1.21,,1.422,,1.592,,1.757,,1.909,,2.189,,2.685,,3.022,,11.3,26.83
23,,23.200001,23.66,96.540001,0.1591,0.2422,0.3669,0.605,0.02433,0.02433,3.62,3.62,0.8275,,1.164,,1.377,,1.75,,2.039,,2.329,,2.57,,2.799,,3.241,,4.124,,4.849,,0.604,,0.8056,,0.9436,,1.207,,1.426,,1.597,,1.761,,1.914,,2.194,,2.691,,3.03,,18.02,22.549999
24,,18.959999,21.190001,92.949997,0.153,0.2324,0.3515,0.5779,0.02531,0.02531,3.636,3.636,0.8334,,1.173,,1.387,,1.762,,2.057,,2.343,,2.585,,2.816,,3.257,,4.14,,4.867,,0.607,,0.8107,,0.9513,,1.222,,1.438,,1.609,,1.776,,1.93,,2.213,,2.713,,3.053,,21.889999,24.93
25,,23.549999,15.69,88.110001,0.1454,0.2218,0.3379,0.5567,0.027,0.027,3.668,3.668,0.841,,1.183,,1.4,,1.777,,2.074,,2.36,,2.604,,2.834,,3.278,,4.163,,4.889,,0.609,,0.813,,0.9577,,1.228,,1.445,,1.619,,1.785,,1.94,,2.224,,2.726,,3.068,,18.459999,19.82
26,,20.25,16.4,84.260002,0.1392,0.2129,0.3247,0.5369,0.02872,0.02872,3.701,3.701,0.8451,,1.189,,1.406,,1.782,,2.081,,2.37,,2.615,,2.846,,3.293,,4.187,,4.926,,0.61,,0.8149,,0.9537,,1.229,,1.445,,1.618,,1.785,,1.939,,2.222,,2.723,,3.064,,17.15,19
27,,15.53,33.41,80.349998,0.1322,0.2008,0.3046,0.5062,0.03052,0.03052,3.721,3.721,0.8495,,1.195,,1.414,,1.796,,2.095,,2.385,,2.631,,2.864,,3.314,,4.216,,4.965,,0.611,,0.8159,,0.9579,,1.227,,1.446,,1.619,,1.786,,1.94,,2.224,,2.725,,3.067,,15.87,22.25
