TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
18,,5.46,1.29,0.3381,0.000536,0.00073,0.001035,0.00278,4.04,4.04,4.502,4.502,0.995,,1.28,,1.45,,1.729,,1.937,,2.147,,2.319,,2.481,,2.789,,3.392,,3.861,,0.7595,,0.9787,,1.125,,1.402,,1.618,,1.789,,1.953,,2.105,,2.382,,2.87,,3.203,,18.190001,5.9
19,,3.39,3.55,0.3441,0.000525,0.000724,0.001121,0.00223,4.031,4.031,4.491,4.491,0.986,,1.269,,1.436,,1.714,,1.921,,2.129,,2.299,,2.461,,2.768,,3.366,,3.832,,0.7583,,0.978,,1.116,,1.397,,1.613,,1.784,,1.948,,2.099,,2.374,,2.86,,3.192,,11.92,5.6
20,,0.37,4.37,0.3469,0.000514,0.000693,0.000933,0.002715,4.076,4.076,4.541,4.541,0.997,,1.285,,1.456,,1.737,,1.947,,2.158,,2.33,,2.494,,2.805,,3.412,,3.886,,0.7583,,0.9707,,1.119,,1.398,,1.611,,1.783,,1.946,,2.097,,2.371,,2.858,,3.189,,3.89,0.98
21,,3.05,1.05,0.426,0.000642,0.00086,0.0012,0.002395,4.054,4.054,4.528,4.528,0.986,,1.278,,1.452,,1.741,,1.957,,2.174,,2.352,,2.52,,2.839,,3.464,,3.953,,0.7519,,0.973,,1.113,,1.389,,1.605,,1.779,,1.944,,2.095,,2.372,,2.862,,3.196,,1.11,6.32
22,,5.75,2.2,0.4118,0.00064,0.000857,0.00112,0.00232,4.072,4.072,4.548,4.548,0.992,,1.288,,1.464,,1.755,,1.971,,2.189,,2.368,,2.537,,2.857,,3.486,,3.978,,0.7514,,0.9705,,1.111,,1.38,,1.602,,1.774,,1.937,,2.088,,2.363,,2.85,,3.181,,14.2,0.6
23,,3.89,1.99,0.397,0.000624,0.00083,0.001121,0.002099,4.089,4.089,4.564,4.564,0.999,,1.299,,1.476,,1.771,,1.993,,2.209,,2.389,,2.56,,2.885,,3.519,,4.019,,0.7538,,0.975,,1.119,,1.399,,1.619,,1.792,,1.959,,2.112,,2.393,,2.89,,3.228,,9.999,1.63
24,,10.62,6.5,0.4065,0.000599,0.000809,0.001045,0.002077,4.103,4.103,4.579,4.579,1.003,,1.305,,1.484,,1.78,,2,,2.219,,2.4,,2.571,,2.897,,3.534,,4.035,,0.7536,,0.9754,,1.118,,1.385,,1.611,,1.784,,1.949,,2.1,,2.378,,2.868,,3.204,,1.32,6.15
25,,0.6,7.12,0.3746,0.000583,0.000778,0.00112,0.00191,4.123,4.123,4.599,4.599,1.009,,1.312,,1.492,,1.789,,2.01,,2.231,,2.412,,2.583,,2.91,,3.551,,4.055,,0.7529,,0.9695,,1.116,,1.389,,1.602,,1.776,,1.94,,2.091,,2.368,,2.859,,3.193,,9.999,1.56
26,,6.45,14.18,0.3657,0.000551,0.00072,0.000968,0.001665,4.14,4.14,4.615,4.615,1.015,,1.32,,1.501,,1.799,,2.019,,2.24,,2.422,,2.593,,2.919,,3.559,,4.062,,0.7531,,0.963,,1.115,,1.388,,1.603,,1.775,,1.939,,2.09,,2.367,,2.858,,3.194,,1.79,1.55
27,,1.18,12.75,0.3584,0.000539,0.000705,0.000955,0.001661,4.155,4.155,4.63,4.63,1.019,,1.323,,1.503,,1.802,,2.02,,2.244,,2.425,,2.597,,2.924,,3.565,,4.069,,0.7529,,0.9712,,1.116,,1.39,,1.607,,1.78,,1.946,,2.099,,2.379,,2.877,,3.217,,3.79,1.82
28,,0.03,11.55,0.3711,0.000553,0.000738,0.001059,0.00198,4.028,4.028,4.491,4.491,0.9375,,1.209,,1.37,,1.639,,1.841,,2.045,,2.212,,2.369,,2.668,,3.247,,3.693,,0.7548,,0.9619,,1.116,,1.387,,1.602,,1.771,,1.933,,2.082,,2.355,,2.837,,3.166,,1.22,1.12
29,,5.98,9.89,0.365,0.000545,0.00073,0.001079,0.001995,3.993,3.993,4.455,4.455,0.9404,,1.214,,1.377,,1.649,,1.85,,2.06,,2.229,,2.387,,2.689,,3.272,,3.722,,0.756,,0.975,,1.119,,1.397,,1.615,,1.788,,1.953,,2.105,,2.384,,2.877,,3.214,,3.42,1.39
30,,1.27,6.4,0.3823,0.000555,0.000764,0.00101,0.002079,4,4,4.462,4.462,0.943,,1.219,,1.382,,1.655,,1.861,,2.068,,2.238,,2.397,,2.699,,3.288,,3.741,,0.758,,0.9735,,1.119,,1.395,,1.619,,1.793,,1.959,,2.112,,2.392,,2.887,,3.226,,9.29,5.17
31,,2.09,1.95,0.4139,0.00063,0.000875,0.001129,0.00245,4.025,4.025,4.497,4.497,0.9482,,1.229,,1.397,,1.674,,1.883,,2.094,,2.265,,2.427,,2.734,,3.329,,3.789,,0.7438,,0.9539,,1.088,,1.36,,1.571,,1.736,,1.895,,2.042,,2.31,,2.787,,3.111,,9.65,2.77
32,,7.85,0.95,0.4064,0.000614,0.000858,0.00108,0.002319,4.05,4.05,4.523,4.523,0.9552,,1.239,,1.408,,1.69,,1.899,,2.112,,2.285,,2.448,,2.757,,3.358,,3.825,,0.7441,,0.9561,,1.1,,1.365,,1.575,,1.74,,1.899,,2.046,,2.316,,2.792,,3.118,,3.99,16.15
33,,4.79,5.59,0.3754,0.000611,0.000814,0.001059,0.002199,4.068,4.068,4.542,4.542,0.96,,1.246,,1.416,,1.699,,1.91,,2.122,,2.296,,2.459,,2.771,,3.375,,3.844,,0.7465,,0.9522,,1.097,,1.365,,1.577,,1.743,,1.903,,2.051,,2.321,,2.799,,3.127,,0.05,4.51
